,tweet
0,Interesting interview about Russia's position in the world. Quite frightening.  https://t.co/9WZyQYVJIO
1,"RWTrollPatrol Jim_Jordan 🤣🤣🤣🤣 The ones that will be tried for treason are the ones who completely made up the Russia Hoax. Indictments have begun &amp; will continue. That's all connected with the 2016 HRC campaign, 2026 DNC, attys involved. Sussman indicted. Marc Elias will go down too.🤣🤣🤣🤣🤣🤣"
2," mfa_russia  RusEmbUSA  RussianEmbassy  RusEmbIndia  EmbassyofRussia  mission_russian  RusBotschaft  rusembassynl  Dpol_un  Amb_Ulyanov  A__Alimov Russia, why you still attached to the past?  It was your choice, to betray all your friend countries and change yourself into true Nazis style  country."
3," stephenpoxon  lidiya1407 No, a lot of people feel this was a proxy war for the US with Russia. Others feel Ukraine should just have given Donbas their freedom. It is not as black and white as you suggest. The world is split, America is split in how they view this war."
4,"The “special operation in Ukraine”!  Better name: “WAR” or, if you prefer: “Murderous Metastatic CANCER of RUSSIA”!"
5,Ukraine will smash Russia. Give them everything they need to drive those animals out of Ukraine.
6, DmytroKuleba  ABaerbock come on Ukraine it’s time to strike inside Russia.. please do something inside Russia gut them hard NOW IS THE TIME STRIKE RUSSIA AGAIN WHAT ARE YOU WAITING ON?
7," marcelvandenber You are a liar and warmonger: showing pics pf atrocities by the Ukraine nazi-militias, and blaming Russia. We have enough evidence of Ukraine forces vile behaviour and brutality, to know the truth. Shame on you and all who support nazi-forces."
8, KaminskiMK 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬Russians are so proud of their culture.  But Russian culture is dead.  Their values are barbaric and inhuman.  Russia must be disbanded completely.  Russia must be neutralized.
9," cerbnord Russia 12th richest country in the world, 14% of people live with - 10000 rubles / month, average net salary in Russia 365 €, 60% of national wealth belongs to 1% of Russians, life expectancy 72 years and Putin has minimum 40 billion lol MAFIA !"
10," anasalhajji HE HAS NOT!   Russia needs the Western, the technology provided by THE BEST Oil&amp;Gas Service Companies in the world to drill to produce his gas from the region of West Siberia east of the Gulf of Ob on the Arctic Circle  Or are you planning to go offshore and DO IT YOURSELF?   🤡"
11,A reporting site for russian assets and companies still trading with russia   https://t.co/g0OdE66ekl
12," imhomein2 I have a friend who's an expert on Russia, do you mind if I give him a call..🤭  https://t.co/9qraTAAcXQ"
13,Russia's most prominent state propagandist apparently agrees that Tulsi Gabbard is a Russian agent  https://t.co/K3vtSjESDh
14," GRomePow  DoombergT Honestly this turkey thinks its a big deal when Russian asset confiscation rules (forcing major companies to liquidated Foreign currency &amp; buy rubles) already renders this meaningless. Ot's semantics, either the company in Russia does it, or the Europeans do it."
