,date,text
0,2022-04-13 13:00:29,"RT @MeshDispatch: // Fresh graves of Russian airborne troops in Mikhailovsk, Russia

#russia #urkaine #RussiaUkraineConflict #ww3 

🇺🇲✊🇺🇦
#…"
1,2022-04-13 13:00:29,"Ukraine warned of a bleak outlook as Mariupol is likely to fall in to ‘Russian hands’ within ‘hours now, not days’ #Mariupol #Ukraine #Russia #Putin - https://t.co/OOdVtV92Mw https://t.co/PefgPM6sib"
2,2022-04-13 13:00:28,#Russia is beefing up its forces for a new assault on #Ukraine's eastern #Donbas region. Suspicions of use of #chemical_weapons https://t.co/Lggu6Ss33p
3,2022-04-13 13:00:27,RT @nexta_tv: #Ukrainian intelligence reports that #Russia's leadership ordered to destroy any evidence of its army's crimes and therefore…
4,2022-04-13 13:00:24,"RT @Blue_Sauron: Drone footage date a couple of weeks ago of Ukrainian strikes on Russian positions near Berezivka village (Kyiv Oblast).
#…"
5,2022-04-13 13:00:23,"RT @NuestraIraSLG: #URZUF—Base of #Azov #Ukraine|ian #NationalGuard regiment in Urzuf (halfway between #Mariupol and #Berdyansk), seized by…"
6,2022-04-13 13:00:23,RT @defencealerts: 🔴#India is planning to boost shipments to #Russia by an additional $2 billion as the two nations work out a payment syst…
7,2022-04-13 13:00:22,RT @maxkootsg: Russia Expelled by UN Human Rights Council. #Ukraine #Украйна  #Ukraina #乌克兰 #Russia #Rescue #StopPutin https://t.co/hVwgKs4…
8,2022-04-13 13:00:21,RT @nexta_tv: #Ukrainian intelligence reports that #Russia's leadership ordered to destroy any evidence of its army's crimes and therefore…
9,2022-04-13 13:00:21,RT @defencealerts: 🔴#India is planning to boost shipments to #Russia by an additional $2 billion as the two nations work out a payment syst…
10,2022-04-13 13:00:20,The latest The Tweety Daily's out! https://t.co/Nbf5e73I1Q Thanks to @ilpost #russia #ukraine
11,2022-04-13 13:00:18,"RT @KyivPost: Today, the leading American defense contractors will meet in #Pentagon. They will discuss how to support #Ukraine in the ongo…"
12,2022-04-13 13:00:17,"RT @OmnaTigray: Why is #Russia's war in #Ukraine more worthy of an expedited ""genocide"" declaration from @POTUS than #Ethiopia and #Eritrea…"
13,2022-04-13 13:00:15,"#Mariupol has fallen! #Ukraine's 36th Battalion Marines have surrendered to #Russia 
#MariupoleHasFallen #MariupolMassacre #MariupolGenocide #UkraineRussia #Ukrainian"
14,2022-04-13 13:00:13,"RT @AlArabiya_Eng: #Russia’s tactics in #Ukraine are similar to its military offensive in #Syria, Ukraine’s Foreign Affairs Minister Dmytro…"
15,2022-04-13 13:00:13,RT @BelgiumMFA: 🔍 Independent experts under the @OSCE #MoscowMechanism revealed clear patterns of international humanitarian law violations…
16,2022-04-13 13:00:11,"📰 Ultime news - Parole chiave

Ukraine #Ukraine
Russia #Russia
Dans #Dans
More #More
Sports #Sports
Siolnet #Siolnet
Mariupol #Mariupol
Live #Live
Johnny #Johnny
Depp #Depp

#NewsByGatfil https://t.co/dCEzy31fh9"
17,2022-04-13 13:00:09,"RT @MartinJmcmah: @IAPonomarenko Viktor Medvedchuk wikipedia page has been updated to show in him handcuffs
#urkaine #Russia #PutinWarCrimi…"
18,2022-04-13 13:00:06,RT @NuestraIraSLG: #DNR/#Mariupol—DNR medical personnel in #Novoazovsk providing urgent medical care to three #Ukraine|ian soldiers of the…
19,2022-04-13 13:00:06,"The #Pentagon is reporting that #Switchblade kamikaze drones have already been delivered to the #UkrainianMilitary #APU and are in service there.  Waiting to see field reports.

#Ukraine #Russia #Belarus 
@IntelCrab
@AuroraIntel
@UAWeapons https://t.co/YneAzBbWSR"
20,2022-04-13 13:00:05,3/3 Information from @ServiceSSU and @DI_Ukraine confirms numerous cases of looting and pillage.Ukrainians' belongings are exported by truck and sold at improvised markets as in 🇧🇾 city of Mozyr. It confirms #Russia and #Belorussia govs. turned blind eye on these 🇷🇺army’s crimes.
21,2022-04-13 13:00:04,"RT @SeifGebre: 2 mons of conflict in #Ukraine, @POTUS describe #Russia’s action #genocide

Yet 17 months of atrocities &amp; ample evidences of…"
22,2022-04-13 13:00:04,"There is an expectation that European banks’ cost of #Risk will deteriorate in FY22, as the uncertainty around the war in Ukraine will inevitably negatively impact European countries. Learn more: https://t.co/mHG0udQQXs

#Russia #CreditRatings #Banks #Europe #Sanctions #Ukraine https://t.co/Qjimg9TMmP"
23,2022-04-13 13:00:02,"#France freezes 23.7 billion euros of Russian assets

#Russia

https://t.co/eKsTGaLljd"
24,2022-04-13 13:00:01,"RT @anews: #Russia will view U.S. and #NATO vehicles transporting #weapons on Ukrainian territory as legitimate military #targets, Deputy F…"
25,2022-04-13 13:00:00,"Reports emerged from #Ukraine on April 11, 2022, alleging that #Russia had used a drone to drop an unknown chemical agent in the besieged southern city of #Mariupol.  
https://t.co/Y8FhVNN7r1"
26,2022-04-13 12:59:57,"RT @lesiavasylenko: Graveyard of civilian cars shot by artillery in and around #Bucha area. All the owners tried to escape, most were child…"
27,2022-04-13 12:59:57,RT @ResearchBuzz: Slate: The People Who Believe Russia’s Disinformation https://t.co/YLHo8AIXlv #Russia #Ukraine #war
28,2022-04-13 12:59:56,Let's enjoy 💐#USA #Brazil @TOC_Olympic #Russia #Spanish #gay #love #datingadvice #Ukrainian #usatravel https://t.co/i77iaCqIyR
29,2022-04-13 12:59:55,"RT @Blue_Sauron: MRLS and artillery units of the Ukrainian 14th Mechanized Brigade hammering Russian forces.
#Russia #Ukraine https://t.co/…"
30,2022-04-13 12:59:52,"RT @Blue_Sauron: MRLS and artillery units of the Ukrainian 14th Mechanized Brigade hammering Russian forces.
#Russia #Ukraine https://t.co/…"
31,2022-04-13 12:59:50,"RT @France24_en: 🇺🇦 ""We keep urging, every day, every morning to the entire global community that we need to stand together to liberate #Ma…"
32,2022-04-13 12:59:48,RT @ResearchBuzz: The Social Media Lab at Ryerson University: Introducing The Russia-Ukraine https://t.co/LXZuez41SO Dashboard https://t.co…
33,2022-04-13 12:59:45,"RT @andreasmoun: Alternative Payment Mechanism for Global South 
 
Some analysts also feel the #rupee-#rouble trade mechanism could open an…"
